Counter-Strike 2 | CPU: 0 | GPU: 15
PEAK | CPU: 0 | GPU: 36.4
RimWorld | CPU: 0 | GPU: 0
Warframe | CPU: 51.4 | GPU: 15
PUBG: BATTLEGROUNDS | CPU: 55.2 | GPU: 9.1
Umamusume: Pretty Derby | CPU: 64.7 | GPU: 3.32
Destiny 2 | CPU: 57.3 | GPU: 8.2
Marvel Rivals | CPU: 67.6 | GPU: 17.6
Dead by Daylight | CPU: 56.4 | GPU: 5.02
Red Dead Redemption 2 | CPU: 55.2 | GPU: 12.8
Apex Legends™ | CPU: 0 | GPU: 8.35
Dota 2 | CPU: 0 | GPU: 0
Clair Obscur: Expedition 33 | CPU: 70.2 | GPU: 9.19
Ready or Not | CPU: 55.2 | GPU: 9.1
RimWorld - Odyssey | CPU: 0 | GPU: 0
HELLDIVERS™ 2 | CPU: 66.4 | GPU: 10.7
Warhammer 40,000: Space Marine 2 | CPU: 73.3 | GPU: 21.5
ELDEN RING NIGHTREIGN | CPU: 85.9 | GPU: 21.5
Rust | CPU: 53.1 | GPU: 10.7
R.E.P.O. | CPU: 48.7 | GPU: 20.6
Delta Force | CPU: 55.2 | GPU: 8.32
Stellar Blade™ | CPU: 70.2 | GPU: 21.5
Baldur's Gate 3 | CPU: 0 | GPU: 19.1
Euro Truck Simulator 2 | CPU: 57 | GPU: 8.28
Tom Clancy's Rainbow Six® Siege X | CPU: 74.6 | GPU: 5.95
Cyberpunk 2077 | CPU: 70.2 | GPU: 17.6
Once Human | CPU: 62.1 | GPU: 6.17
War Thunder | CPU: 0 | GPU: 8.32
NARAKA: BLADEPOINT | CPU: 0 | GPU: 6.17
Limbus Company | CPU: 0 | GPU: 5.71
DELTARUNE | CPU: 0 | GPU: 0
ELDEN RING | CPU: 79.7 | GPU: 21.5
F1® 25 | CPU: 57 | GPU: 17.6
Stronghold Crusader: Definitive Edition | CPU: 55.4 | GPU: 35
Lies of P | CPU: 57 | GPU: 9.19
Dune: Awakening | CPU: 57 | GPU: 0
NBA 2K25 | CPU: 57 | GPU: 13.8
Team Fortress 2 | CPU: 0 | GPU: 0
Split Fiction | CPU: 67.6 | GPU: 16.6
The Sims™ 4 | CPU: 52.1 | GPU: 0.11
Schedule I | CPU: 0 | GPU: 21.5
REMATCH | CPU: 68.1 | GPU: 5.95
Black Desert | CPU: 0 | GPU: 19.1
Stardew Valley | CPU: 0 | GPU: 0
Satisfactory | CPU: 0 | GPU: 10.7
FINAL FANTASY XIV Online | CPU: 0 | GPU: 19.1
ARK: Survival Ascended | CPU: 73.3 | GPU: 9.19
Wuthering Waves | CPU: 0 | GPU: 17.6
Black Myth: Wukong | CPU: 70.2 | GPU: 21.5
Wallpaper Engine | CPU: 0 | GPU: 0
